rt_name,perplexity,avg_log_likelihood,molecular_weight,aromaticity,instability_index,isoelectric_point,helix,turn,sheet,gravy,arginine_r_charge,lysine_k_charge,aspartate_d_charge,glutamate_e_charge,native_net_charge,t40_raw,t45_raw,t50_raw,t55_raw,t60_raw,t65_raw,t70_raw,t75_raw,t80_raw,thermophilicity_num,clash_binary,triad_found_bin,D1_D2_dist,D2_D3_dist,triad_best_rmsd,n_hydrophobic_contacts,n_salt_bridges,n_hbonds,hydrophobic_per_res,salt_per_res,hbonds_per_res,pocket_hydrophobic,pocket_salt_bridges,pocket_hbonds,pocket_hydrophobic_per_res,pocket_hbonds_per_res,whole_hydrophobic_fraction,whole_mean_hydrophobicity,whole_std_hydrophobicity,yxdd_hydrophobic_fraction,yxdd_mean_hydrophobicity,hairpin_pass,best_confidence,best_s1_len,best_turn_len,best_s2_len,n_strands_total,n_hairpins_found,pct_E,pct_H,thumb_total_residues,thumb_surface_residues,thumb_surface_positive,thumb_surface_negative,thumb_surface_net_charge,thumb_charge_ratio,thumb_fident,thumb_charge_class_num,has_dgr_motif,ramachandran_favoured,ramachandran_allowed,ramachandran_outliers,g_factor_dihedrals,g_factor_covalent,g_factor_overall,camsol_score,camsol_mean_profile,camsol_min_profile,camsol_frac_poor,camsol_frac_good,sasa_total,sasa_avg,sasa_high_pct,sasa_medium_pct,sasa_low_pct,yxdd_y_is_strand,yxdd_x_is_turn,yxdd_d1_is_turn,yxdd_d2_is_strand,qg_motif_found,sp_motif_found,sp_s_is_helix,sp_p_is_helix,foldseek_best_TM,foldseek_best_LDDT,foldseek_best_fident,foldseek_TM_HIV1,foldseek_TM_MMLV,foldseek_TM_MMLVPE,foldseek_TM_Retron,foldseek_TM_LTRRetrotransposon,foldseek_TM_Group2Intron,foldseek_TM_Telomerase,rnaseH_dedd_found,rnaseH_dedd_rmsd,palm_rnaseH_contact_density,rnaseH_cterminal_helix_frac,palm_rnaseH_com_dist,palm_internal_rmsd,palm_contact_entropy,palm_plddt_mean,palm_plddt_cv,palm_charge_density_pos,palm_charge_density_neg
GroupII_CLA-RT,3.761259078979492,-1.324753761291504,34733.9245,0.0816993464052287,43.88205882352943,9.951484870910644,0.3235294117647059,0.2516339869281045,0.3496732026143791,-0.3140522875816994,26,18,13,13,18,0.1962,0.1994,0.2189,0.09822,0.07668,0.008477,0.007083,0.0007719,0.0001335,0,0,1.0,24.6144,3.8458,16.3908,163.0,6.0,464.0,0.533,0.0196,1.516,7.0,0.0,16.0,0.333,0.762,0.3758,-0.3141,3.0478,0.5294,0.7882,0.0,,,,,9.0,0.0,14.8,49.5,49.0,40.0,8.0,4.0,4.0,2.0,0.145,1.0,0,90.7,8.5,0.7,0.07,-0.24,-0.05,0.969733,-0.023232820290211,-2.1139481908144537,0.1176470588235294,0.0849673202614379,2449.62,122.48,30.0,45.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8896,0.7175,0.274,0.6498,0.6519,0.3071,0.8492,0.6637,0.8896,0.7855,1.0,7.115365811462474,0.0544210526315789,0.8,5.192585412071289,11.959352723501718,3.960860422451875,0.9026315789473682,0.0894598221112895,0.1052631578947368,0.0947368421052631
Gs-RT,2.1728100776672363,-0.7760211825370789,48487.6755,0.0811455847255369,40.56778042959426,10.485798835754396,0.3078758949880668,0.2243436754176611,0.3723150357995227,-0.4847255369928401,49,26,19,22,34,0.9285,0.9081,0.8373,0.6836,0.4258,0.2119,0.1345,0.0009729,0.0003788,2,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358,-0.4847,3.2182,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,,,,1.319949,0.1175520007456669,-2.107826732720429,0.0954653937947494,0.1909307875894988,2093.95,104.7,15.0,65.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9872,0.8957,0.921,0.6857,0.6894,0.5786,0.8197,0.6233,0.9872,0.7271,1.0,19.57781093318104,0.0213636363636363,0.845,30.03040327976057,11.371189380605571,3.9359618621260206,0.8242148760330578,0.230887589786569,0.140495867768595,0.1487603305785124
Gypsy-RT,6.497917175292969,-1.8714816570281985,53279.3376,0.1002132196162046,36.53840085287846,9.168709754943851,0.3006396588486141,0.2921108742004264,0.373134328358209,-0.337953091684435,27,37,28,26,10,0.3662,0.4486,0.3827,0.4648,0.4058,0.4903,0.5669,0.4889,0.2293,1,1,1.0,6.8615,3.8317,0.6998,242.0,12.0,646.0,0.516,0.0256,1.377,13.0,0.0,14.0,0.542,0.583,0.3689,-0.338,3.1405,0.65,1.605,1.0,0.685,2.0,9.0,3.0,19.0,5.0,23.1,40.6,93.0,56.0,13.0,12.0,1.0,1.083,0.215,0.0,1,91.7,7.8,0.5,0.02,-0.44,-0.17,0.272462,-0.0408916708185722,-2.8621142277216176,0.1599147121535181,0.1257995735607676,2864.48,143.22,40.0,55.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9165,0.7387,0.234,0.9165,0.893,0.87,0.6704,0.578,0.666,0.5496,1.0,5.008604962990519,0.0006198347107438,0.815,32.348210966323975,10.523406048486883,3.941218301199178,0.96900826446281,0.0191994287830584,0.1652892561983471,0.1322314049586777
HIVpol+MMLVRNaseH_RT,1.9464974403381348,-0.666031539440155,71322.0739,0.0864,35.14368000000001,8.506361579895021,0.3568,0.24,0.3792,-0.536,24,60,29,51,4,0.8315,0.7783,0.6348,0.6575,0.4726,0.8507,0.8198,0.7004,0.3401,1,1,1.0,6.0938,3.8139,0.3012,258.0,23.0,798.0,0.413,0.0368,1.277,4.0,1.0,10.0,0.2,0.5,0.3264,-0.536,3.0448,0.4375,0.4687,1.0,0.71,6.0,2.0,6.0,23.0,4.0,22.1,34.3,80.0,50.0,10.0,9.0,1.0,1.111,0.987,0.0,0,88.1,11.7,0.2,-0.1,-0.96,-0.44,0.841852,0.0866841430989605,-2.4818391721613,0.1344,0.1888,2670.77,133.54,30.0,60.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8619,0.7047,0.245,0.8552,0.8619,0.7543,0.6268,0.7273,0.6229,0.6296,1.0,2.3720522494671226,0.0,0.755,60.35127205332496,12.384048989052047,3.9541273494960634,0.926198347107438,0.0739770594787168,0.1570247933884297,0.1157024793388429
IPMA-RT,8.778963088989258,-2.172358274459839,64126.6329,0.0872600349040139,44.86369982548001,8.909288978576662,0.2966841186736474,0.2914485165794066,0.4031413612565445,-0.0282722513089005,21,32,25,20,8,0.8109,0.7652,0.5382,0.63,0.4903,0.6964,0.8514,0.8539,0.7748,1,1,1.0,5.95,3.8417,0.1798,354.0,4.0,756.0,0.618,0.007,1.319,14.0,0.0,10.0,0.636,0.455,0.3979,-0.0283,3.1045,0.7222,2.0389,1.0,0.85,5.0,5.0,5.0,25.0,4.0,21.3,37.8,71.0,46.0,9.0,6.0,3.0,1.5,0.246,1.0,0,93.2,6.6,0.2,-0.02,-0.36,-0.17,-1.285191,-0.3597042280921501,-2.4083679814854846,0.2495636998254799,0.06282722513089,2719.59,135.98,30.0,60.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.932,0.7586,0.322,0.932,0.9229,0.8176,0.6575,0.6825,0.6621,0.5487,1.0,4.156491134815841,0.0,0.795,56.2411702086467,12.842453941298288,3.9473746485887737,0.9514876033057852,0.0296852252434679,0.1074380165289256,0.0991735537190082
KORV-RT,3.50368595123291,-1.253815531730652,75693.3306,0.0752212389380531,42.93303834808272,9.205263328552244,0.3480825958702065,0.2669616519174041,0.3628318584070796,-0.3212389380530974,44,40,31,39,14,0.6555,0.7753,0.7533,0.8986,0.7852,0.9118,0.8744,0.4211,0.2591,2,0,1.0,6.1211,3.8346,0.1676,359.0,17.0,911.0,0.529,0.0251,1.344,18.0,0.0,13.0,0.75,0.542,0.3717,-0.3212,3.0285,0.6,1.095,1.0,0.75,5.0,6.0,5.0,24.0,6.0,22.2,37.8,86.0,54.0,10.0,6.0,4.0,1.667,0.709,1.0,0,93.1,6.5,0.3,-0.03,-0.34,-0.16,0.49773,0.0121720335476781,-2.58283920787344,0.1386430678466076,0.140117994100295,2704.5,135.22,35.0,60.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9793,0.8711,0.725,0.9763,0.9793,0.9544,0.7787,0.5922,0.6573,0.5441,1.0,6.164744347613566,0.0,0.765,68.43560287511544,12.22050870668492,3.9468546648392615,0.9683471074380168,0.0270906249892998,0.1570247933884297,0.1074380165289256
Line1-RT,2.8338065147399902,-1.041620850563049,96676.3446,0.0970873786407767,36.60766990291277,9.691354942321777,0.3495145631067961,0.2354368932038835,0.3968446601941747,-0.545995145631068,40,102,38,55,49,0.3972,0.2889,0.18,0.2937,0.2675,0.4359,0.3731,0.6718,0.1392,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.999437,0.0860586526669623,-2.5030443803744538,0.1201456310679611,0.1783980582524272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LtrA-RT,3.097157716751098,-1.1304848194122314,70030.4793,0.1053511705685618,47.08428093645497,9.59903621673584,0.3361204013377926,0.2341137123745819,0.3729096989966555,-0.5667224080267559,36,70,25,41,40,0.6299,0.593,0.3479,0.3417,0.2994,0.07798,0.05383,0.02043,0.002234,2,0,1.0,11.0467,3.8278,7.4928,245.0,22.0,943.0,0.41,0.0368,1.577,9.0,0.0,14.0,0.391,0.609,0.3344,-0.5667,3.1581,0.6316,1.1842,1.0,0.736,7.0,6.0,6.0,19.0,2.0,17.1,47.6,84.0,60.0,9.0,5.0,4.0,1.8,0.142,1.0,0,92.1,7.699999999999999,0.2,0.11,-0.28,-0.05,0.891731,0.0622848518671122,-2.949344081717167,0.12876254180602,0.1722408026755852,2211.28,110.56,10.0,65.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8714,0.648,0.236,0.6891,0.6958,0.5848,0.8299,0.4786,0.8714,0.7302,1.0,14.345955383201584,8.264462809917356e-05,0.845,44.05826314458571,15.719679867615223,3.969531634742987,0.9054545454545454,0.0686118448778606,0.256198347107438,0.1487603305785124
MMLV-RT,3.448884963989258,-1.238050937652588,75295.7755,0.0723781388478582,40.50723781388491,8.546654319763185,0.363367799113737,0.2599704579025111,0.3648449039881831,-0.3187592319054653,36,40,35,36,5,0.4015,0.5095,0.4388,0.7279,0.4331,0.7857,0.7463,0.1474,0.05789,1,1,1.0,6.1134,3.7832,0.2072,362.0,21.0,952.0,0.535,0.031,1.406,18.0,0.0,15.0,0.72,0.6,0.3693,-0.3188,2.995,0.5714,0.8905,1.0,0.75,5.0,6.0,5.0,26.0,6.0,22.9,37.9,86.0,53.0,8.0,7.0,1.0,1.143,0.976,0.0,0,91.9,7.8,0.3,0.02,-0.32,-0.14,0.780471,-0.0015942091589795,-2.3109081976921595,0.1152141802067946,0.1344165435745938,2761.38,138.07,35.0,60.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9843,0.884,0.972,0.9792,0.9843,0.9615,0.71,0.5897,0.6592,0.491,1.0,3.8212465060908114,0.0,0.775,67.25067757003181,12.10681055871792,3.950014465586861,0.9066115702479338,0.0434209310020907,0.1239669421487603,0.1157024793388429
MMTV-RT,8.584270477294922,-2.1499314308166504,69306.35489999999,0.0910596026490066,52.1258443708611,8.678105354309082,0.2996688741721854,0.2599337748344371,0.4139072847682119,-0.2728476821192053,25,45,35,29,6,0.5207,0.5241,0.402,0.5738,0.4318,0.7809,0.8708,0.8727,0.779,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3626,-0.2728,3.1403,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,,,,-0.568116,-0.2082233003125475,-3.0596754288372043,0.1870860927152318,0.0794701986754966,2682.2,134.11,45.0,30.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.867,0.707,0.248,0.8624,0.867,0.7277,0.6995,0.6603,0.5597,0.5464,1.0,8.61182442834512,4.132231404958678e-05,0.79,49.96306744467064,12.763361016669691,3.953995702588828,0.9285123966942148,0.0626408403349923,0.1735537190082644,0.0991735537190082
MPMV-RT,8.656078338623047,-2.158261775970459,71875.5678,0.0920436817472698,37.55570982839319,8.728777503967283,0.3198127925117004,0.2745709828393136,0.3900156006240249,-0.1046801872074883,13,45,32,19,7,0.2266,0.2055,0.07849,0.3219,0.1082,0.2857,0.5743,0.5304,0.2312,1,1,1.0,5.8871,3.8126,0.2117,335.0,9.0,828.0,0.523,0.014,1.292,10.0,0.0,10.0,0.455,0.455,0.3963,-0.1047,3.0537,0.6111,1.25,1.0,0.85,5.0,5.0,5.0,24.0,3.0,18.1,34.8,80.0,52.0,10.0,9.0,1.0,1.111,0.244,0.0,0,88.1,10.8,1.1,-0.11,-0.71,-0.35,-1.119678,-0.3214622198161113,-2.552058834662642,0.21996879875195,0.06396255850234,2339.04,116.95,25.0,55.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9226,0.7428,0.289,0.9226,0.9133,0.8448,0.6907,0.6666,0.6095,0.5617,1.0,18.67363767436852,0.0,0.755,56.127068698020665,12.70086920551345,3.959939666492155,0.9430578512396696,0.039342824582897,0.1487603305785124,0.0826446280991735
Med-CasRT,9.759672164916992,-2.278258800506592,35849.978899999995,0.0932475884244373,39.55691318327975,5.5645601272583,0.3504823151125402,0.2508038585209003,0.3536977491961414,-0.5385852090032154,17,17,21,24,-11,0.02335,0.01206,0.005841,0.005216,0.0005625,0.0002317,0.00018,8.342e-05,3.193e-05,0,0,1.0,11.7362,3.8473,7.0304,138.0,17.0,474.0,0.444,0.0547,1.524,6.0,0.0,14.0,0.261,0.609,0.3473,-0.5386,3.0828,0.4737,0.4632,1.0,0.652,7.0,5.0,6.0,11.0,1.0,16.8,43.9,54.0,45.0,6.0,11.0,-5.0,0.545,0.109,-1.0,0,87.7,12.0,0.4,0.01,-0.34,-0.13,1.259983,0.0777266675064533,-2.567975142159945,0.1286173633440514,0.1607717041800643,2901.49,145.07,45.0,50.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9118,0.7886,0.274,0.7043,0.699,0.6731,0.8261,0.5437,0.9118,0.7207,1.0,4.798273831288459,0.0517355371900826,0.815,2.9470567370239498,11.011541966687252,3.940958561759406,0.9304132231404956,0.03317471302127,0.1157024793388429,0.1487603305785124
Mx65-RT,4.748226165771484,-1.55777108669281,47892.7957,0.0610328638497652,53.71197183098594,11.206490898132325,0.323943661971831,0.2347417840375587,0.3615023474178404,-0.3936619718309859,62,15,17,23,37,0.3416,0.1886,0.149,0.1309,0.07797,0.03354,0.0153,0.0003632,0.0006996,0,0,1.0,8.7186,3.8572,4.7174,161.0,15.0,646.0,0.378,0.0352,1.516,5.0,0.0,11.0,0.25,0.55,0.3732,-0.3937,3.1483,0.4375,0.4562,0.0,,,,,10.0,0.0,16.0,47.3,53.0,38.0,10.0,8.0,2.0,1.25,0.226,0.0,0,88.3,10.1,1.6,-0.07,-0.63,-0.29,1.389092,0.2210060311878391,-2.333291523922004,0.1384976525821596,0.2535211267605634,2435.56,121.78,25.0,40.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9106,0.7119,0.255,0.6755,0.671,0.6691,0.9106,0.4551,0.7996,0.5511,1.0,6.57454209838844,0.0460743801652892,0.83,7.825554349775162,12.91367270036097,3.9522795575836023,0.9258677685950414,0.0546276405790807,0.1487603305785124,0.1157024793388429
Ne144-RT,6.025179862976074,-1.7959473133087158,56880.6658,0.0643274853801169,50.38538011695917,10.126129722595213,0.3684210526315789,0.2514619883040935,0.2982456140350877,-0.5023391812865496,57,33,19,40,31,0.1224,0.04609,0.03454,0.006662,0.008527,0.004032,0.001673,0.0001317,0.0006418,0,0,1.0,8.7514,3.848,4.8067,190.0,18.0,776.0,0.37,0.0351,1.513,3.0,0.0,12.0,0.158,0.632,0.3684,-0.5023,3.0714,0.4,0.2333,1.0,0.484,2.0,4.0,7.0,11.0,1.0,13.1,50.2,70.0,44.0,11.0,7.0,4.0,1.571,0.214,1.0,0,86.9,12.2,0.9,-0.08,-0.68,-0.32,1.948546,0.3626307209518149,-2.508145212270222,0.1052631578947368,0.2943469785575048,2518.62,125.93,35.0,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8742,0.6733,0.292,0.7101,0.7142,0.5603,0.8742,0.512,0.7517,0.655,1.0,8.800121324094086,0.032892561983471,0.855,12.735617255640918,13.10692007607215,3.9419462001007664,0.9423140495867768,0.0495836678723144,0.1818181818181818,0.1322314049586777
Ngaro-RT,9.827791213989258,-2.2852141857147217,51751.5014,0.1154684095860566,48.511808278867136,8.071135520935059,0.3006535947712418,0.2984749455337691,0.3986928104575163,0.1468409586056644,18,22,18,20,2,0.7515,0.8124,0.665,0.8403,0.698,0.8602,0.8399,0.9027,0.7117,3,0,0.0,,,,275.0,10.0,642.0,0.599,0.0218,1.399,0.0,0.0,0.0,0.0,0.0,0.4292,0.1468,3.0492,,,1.0,0.782,4.0,11.0,4.0,19.0,3.0,20.3,43.2,66.0,41.0,6.0,5.0,1.0,1.2,0.318,0.0,0,90.4,9.4,0.2,-0.04,-0.25,-0.12,-1.202845,-0.4064061194521866,-2.453204027071756,0.2440087145969499,0.0479302832244008,2652.07,132.6,40.0,55.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8599,0.6699,0.172,0.852,0.8599,0.6979,0.7047,0.6527,0.7273,0.5475,1.0,17.387227746994935,8.474576271186441e-05,0.795,48.213697344857366,12.049757484466568,3.9507862673902583,0.8052542372881354,0.189936070241603,0.1440677966101695,0.0677966101694915
PERV-RT,3.1108498573303223,-1.134895920753479,74346.74969999999,0.0749625187406296,40.87271364317849,9.152979469299318,0.3448275862068965,0.2443778110944527,0.3808095952023987,-0.2539730134932534,41,37,32,34,12,0.6367,0.7893,0.7123,0.8785,0.7515,0.9104,0.8661,0.3027,0.1252,2,0,1.0,6.0544,3.8099,0.1275,362.0,15.0,904.0,0.543,0.0225,1.355,18.0,0.0,16.0,0.72,0.64,0.3808,-0.254,3.0469,0.5714,0.981,1.0,0.75,5.0,6.0,5.0,24.0,6.0,22.7,37.7,86.0,54.0,10.0,7.0,3.0,1.429,0.709,1.0,0,93.6,6.1000000000000005,0.3,0.01,-0.32,-0.14,0.296968,-0.0849200504250982,-2.257609250852348,0.1499250374812593,0.0974512743628185,2980.71,149.04,50.0,50.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9791,0.8628,0.752,0.9757,0.9791,0.9562,0.7661,0.5978,0.657,0.5005,1.0,5.525156577135852,0.0,0.75,67.25936898891366,12.21054957843375,3.9481577339608416,0.9194214876033058,0.0393597024907802,0.140495867768595,0.1074380165289256
POL11ERV-RT,3.71369194984436,-1.3120265007019043,64676.38050000001,0.0840630472854641,40.16744308231174,8.813231086730958,0.3099824868651488,0.25569176882662,0.4115586690017513,-0.1551663747810858,22,42,30,27,7,0.3949,0.4558,0.2736,0.5572,0.3122,0.7397,0.8252,0.8783,0.7651,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3923,-0.1552,3.1575,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,,,,-0.78526,-0.2131574770887793,-2.677023660316741,0.2259194395796847,0.1068301225919439,3056.33,152.82,40.0,55.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9171,0.7463,0.248,0.9171,0.9116,0.8451,0.6914,0.7431,0.6588,0.5546,1.0,7.113715953456597,0.0,0.76,57.89999765925203,12.654321228916826,3.961264869879824,0.7545454545454545,0.0900476467152952,0.1322314049586777,0.1074380165289256
ROSE-CRISPR-RT,8.033197402954102,-2.083582639694214,48954.7173,0.0650224215246636,43.78721973094169,9.419943046569824,0.3408071748878923,0.2600896860986547,0.3183856502242152,-0.1522421524663677,49,7,26,22,8,0.2812,0.2226,0.1385,0.03282,0.002112,0.002367,0.001416,6.013e-06,4.76e-07,0,0,0.0,,,,196.0,14.0,710.0,0.439,0.0314,1.592,12.0,0.0,14.0,0.5,0.583,0.4283,-0.1522,3.099,,,1.0,0.635,7.0,5.0,6.0,8.0,1.0,10.3,55.3,63.0,50.0,9.0,6.0,3.0,1.5,0.222,1.0,0,88.7,11.0,0.3,-0.08,-0.52,-0.26,1.193858,0.0664056954969164,-2.453431980552946,0.1076233183856502,0.1816143497757847,2379.52,118.98,25.0,65.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8861,0.74,0.188,0.6718,0.6757,0.5978,0.8,0.4566,0.8861,0.4971,1.0,24.050829407176256,0.0084710743801652,0.885,8.701072364180789,10.349659090266773,3.9241937994477385,0.895702479338843,0.1346543103118646,0.1074380165289256,0.140495867768595
RSVSB-RT,9.8226957321167,-2.284695625305176,68774.2308,0.0702875399361022,44.51407348242821,6.974280738830567,0.3482428115015974,0.2635782747603834,0.3913738019169329,0.1078274760383386,39,22,28,34,-1,0.5916,0.4349,0.4196,0.572,0.3278,0.7506,0.8228,0.2873,0.1659,1,1,1.0,5.973,3.8134,0.2401,388.0,12.0,780.0,0.62,0.0192,1.246,10.0,0.0,17.0,0.435,0.739,0.4313,0.1078,3.0584,0.5789,0.9211,1.0,0.831,3.0,12.0,3.0,27.0,4.0,22.4,33.0,70.0,45.0,7.0,7.0,0.0,1.0,0.229,0.0,0,87.6,11.4,0.9,-0.16,-0.48,-0.3,-0.799422,-0.2700217902649515,-2.454570270016589,0.2044728434504792,0.0654952076677316,2417.8,120.89,15.0,55.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9329,0.7687,0.31,0.9329,0.9295,0.8312,0.6566,0.6596,0.5919,0.3041,1.0,5.590036339522603,0.0,0.765,54.27272105864673,12.499568387706324,3.9529860426838592,0.9485123966942148,0.0361589597587517,0.1157024793388429,0.0991735537190082
Retron86-RT,2.601273536682129,-0.9560011625289916,36291.9132,0.0909090909090909,43.36645768025076,10.027106285095217,0.3134796238244514,0.2789968652037617,0.3855799373040752,-0.2730407523510972,22,31,10,14,29,0.399,0.4071,0.3869,0.4295,0.3898,0.2684,0.174,0.3532,0.2757,0,0,1.0,8.6756,3.8272,4.8684,167.0,7.0,510.0,0.524,0.0219,1.599,3.0,0.0,14.0,0.143,0.667,0.3636,-0.273,3.1661,0.4118,0.2294,1.0,0.77,7.0,7.0,7.0,10.0,1.0,15.4,52.2,62.0,44.0,13.0,6.0,7.0,2.167,1.0,1.0,0,91.6,7.6,0.7,0.14,-0.08,0.05,0.578626,-0.0895273423145542,-2.111644123344586,0.1755485893416928,0.1379310344827586,2169.38,108.47,30.0,45.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9169,0.847,0.955,0.6829,0.6894,0.6944,0.9169,0.5603,0.822,0.7376,0.0,,0.0474380165289256,0.845,10.888235321925084,10.43308380429796,3.9259529600807,0.965206611570248,0.0149574699902908,0.1570247933884297,0.0495867768595041
Rs-RT,7.692510604858398,-2.040247201919556,32567.2897,0.0787671232876712,33.92465753424658,9.338583946228027,0.3356164383561644,0.2465753424657534,0.3732876712328767,-0.0455479452054794,24,13,17,13,7,0.2338,0.1815,0.1746,0.1183,0.04047,0.007811,0.00585,0.002047,0.001064,0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4281,-0.0455,3.1581,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,,,,0.522281,-0.1422029381352836,-2.010577399862122,0.1780821917808219,0.1164383561643835,2298.33,114.92,25.0,45.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9421,0.7451,0.24,0.6578,0.6525,0.5647,0.8484,0.634,0.9421,0.7895,1.0,8.983398264637396,0.0518181818181818,0.835,3.221473270300996,10.542320336615836,3.924085028522881,0.9595867768595042,0.0455411102089603,0.1239669421487603,0.0909090909090909
SEN1-RT,3.424794435501098,-1.231041431427002,35939.2659,0.1032258064516129,40.49712903225806,9.664213752746583,0.3258064516129032,0.2741935483870967,0.3967741935483871,-0.3777419354838709,15,36,18,14,19,0.1147,0.0953,0.1405,0.1264,0.1031,0.1089,0.03715,0.02477,0.01072,0,0,1.0,5.8265,3.8134,0.1436,183.0,6.0,523.0,0.59,0.0194,1.687,3.0,0.0,13.0,0.143,0.619,0.3645,-0.3777,3.2084,0.4706,0.2353,1.0,0.693,7.0,6.0,7.0,10.0,1.0,16.2,51.5,65.0,44.0,12.0,4.0,8.0,3.0,0.323,1.0,0,95.5,4.2,0.3,0.25,-0.03,0.12,0.802754,-0.0560755220337992,-2.766597482087771,0.1516129032258064,0.1064516129032258,1959.47,97.97,10.0,50.0,40.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9607,0.8275,0.455,0.7203,0.6796,0.7288,0.9607,0.568,0.8146,0.7039,1.0,2.9359253537681287,0.0436776859504132,0.825,10.80271177173789,10.65151550728812,3.918414760159726,0.910413223140496,0.0460501876150996,0.140495867768595,0.1157024793388429
SRV2-RT,8.44397258758545,-2.133452892303467,71907.5134,0.0967238689547581,41.86709828393143,9.154784584045409,0.3042121684867394,0.2698907956318253,0.4009360374414976,-0.100780031201248,19,41,31,16,13,0.2352,0.1967,0.0847,0.3397,0.1525,0.3903,0.6575,0.4829,0.1755,1,1,1.0,5.9005,3.8045,0.24,328.0,9.0,832.0,0.512,0.014,1.298,9.0,0.0,9.0,0.409,0.409,0.3931,-0.1008,3.0434,0.6111,1.25,1.0,0.85,5.0,5.0,5.0,24.0,3.0,18.4,35.8,72.0,44.0,8.0,6.0,2.0,1.333,0.233,0.0,0,87.1,12.1,0.7,-0.12,-0.57,-0.3,-1.145563,-0.3548269076108349,-2.3546420465198823,0.2308892355694227,0.0577223088923556,2446.13,122.31,25.0,60.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9159,0.7332,0.289,0.9159,0.9079,0.8464,0.6448,0.6714,0.6053,0.5634,1.0,20.83262648495744,0.0,0.765,57.80286835131642,12.66448359985508,3.958375222529628,0.9440495867768596,0.0410947365345691,0.1239669421487603,0.0578512396694214
Sau1-RT,5.134877681732178,-1.6360560655593872,52944.0541,0.0584551148225469,44.38288100208767,10.190984916687016,0.4050104384133612,0.2233820459290188,0.3152400835073068,-0.4981210855949896,48,36,20,37,27,0.1602,0.08393,0.05083,0.03922,0.01398,0.002847,0.000789,4.569e-05,0.0001141,0,0,1.0,8.6167,3.8695,4.7495,194.0,16.0,744.0,0.405,0.0334,1.553,3.0,0.0,12.0,0.158,0.632,0.3737,-0.4981,3.0691,0.4,0.1333,0.0,,,,,11.0,0.0,12.8,47.9,59.0,39.0,12.0,6.0,6.0,2.0,0.254,1.0,0,85.3,14.5,0.2,-0.02,-0.7,-0.29,1.984723,0.3361773386307412,-2.3844753651845663,0.0981210855949895,0.2526096033402922,2627.87,131.39,35.0,55.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8713,0.6619,0.276,0.7073,0.7071,0.7135,0.8713,0.5484,0.7284,0.5584,1.0,14.038765515074362,0.0428099173553719,0.815,11.543129787486958,14.092693935649226,3.937815038975191,0.8929752066115704,0.1278502282217353,0.2148760330578512,0.0909090909090909
